Join Date,Name,Completed
"Sep 17, 2020, 12:38:24 AM",Kickoff to Kinnick Hawkeye’s for the Kids Challenge,true
"Sep 17, 2020, 12:38:26 AM",Skratch: PR with Superfuel,true
"Sep 17, 2020, 12:38:31 AM",Fleet Feet x On Motivate Your State,false
"Sep 17, 2020, 12:38:39 AM",Fall into Fitness with Nuzest,true
"Sep 17, 2020, 12:38:48 AM",Ride to End ALZ Training Challenge,true
"Dec 1, 2020, 12:39:50 AM",Challenge the weather with 66ºNorth,false
"Dec 1, 2020, 12:39:58 AM",December 4x4 Challenge,false
"Dec 1, 2020, 12:40:06 AM",December Cycling Challenge,false
"Dec 1, 2020, 12:40:09 AM",December Gran Fondo,false
"Dec 1, 2020, 12:40:18 AM",MAAP: In The Field,true
"Dec 1, 2020, 12:40:30 AM",Vuori ACTV Club Challenge,false
"Dec 1, 2020, 12:40:40 AM",Bose x Hyperice 20.20 Finisher,true
"Dec 1, 2020, 12:40:47 AM",ROKA Hindsight 20/20 Challenge,true
"Dec 29, 2020, 6:59:00 PM",Le Col Tick Off 2020 Challenge,true
"Dec 29, 2020, 6:59:07 PM",January Cycling Distance Challenge,false
"Dec 29, 2020, 6:59:09 PM",January Cycling Challenge,false
"Dec 29, 2020, 6:59:10 PM",January Gran Fondo,false
"Dec 29, 2020, 6:59:15 PM",January Cycling Consistency Challenge,false
"Dec 29, 2020, 6:59:18 PM",Move Past 2020 Challenge,false
"Dec 29, 2020, 6:59:25 PM",January Fresh Start Challenge,false
"Dec 29, 2020, 6:59:30 PM",Yule Ridings by Muc-Off,false
"Dec 29, 2020, 6:59:37 PM",St. Jude Resolutions Challenge,false
"Dec 29, 2020, 6:59:50 PM",Start Your Year with ROUVY,false
"Dec 29, 2020, 6:59:52 PM",ROKA Why Not Now? Challenge,true
"Mar 28, 2021, 1:15:21 AM",Smartwool Go Far. Feel Good. Challenge,false
"Mar 28, 2021, 1:53:03 AM",March Cycling Challenge,false
"Mar 28, 2021, 1:53:10 AM",April Gran Fondo,false
"Mar 28, 2021, 1:53:23 AM",April Cycling Challenge,false
"Mar 28, 2021, 1:53:37 AM",1% Better,false
"Mar 28, 2021, 1:53:43 AM",PowerDot #BackToBetter Challenge,false
"Mar 28, 2021, 1:53:55 AM",The SHIMANO Happy One Hundred,true
"Mar 28, 2021, 1:54:01 AM",ROKA Monuments Challenge,true
"Mar 28, 2021, 1:54:04 AM",#EndALZ 100-mile Training Challenge,true
"Mar 28, 2021, 1:54:12 AM",Crush It 4 Climate,true
"May 11, 2021, 10:59:19 AM",Amp Human’s Personal Best Challenge,true
"May 11, 2021, 10:59:23 AM",Itch & Skratch,true
"May 11, 2021, 10:59:42 AM",The MAAP Blowout,false
"May 11, 2021, 10:59:55 AM",GIGIFIT Acceptance Challenge by GiGi's Playhouse,true
"May 11, 2021, 11:00:01 AM",REI Cycle State of Mind,true
"Jul 18, 2021, 12:51:51 PM",July 30-Hour Challenge,false
"Jul 18, 2021, 12:52:02 PM",July Cycling Challenge,false
"Jul 18, 2021, 12:52:12 PM",ROKA Le Défi 100 Challenge,true
"Oct 15, 2021, 2:35:57 AM",Le Col Chase The Sun,true
"Oct 15, 2021, 2:36:00 AM",October Cycling Consistency Challenge,false
"Oct 15, 2021, 2:36:02 AM",October Cycling Challenge,false
"Oct 15, 2021, 2:36:03 AM",October Cycling Climbing Challenge,false
"Oct 15, 2021, 2:36:07 AM",October Cycling Distance Challenge,false
"Oct 15, 2021, 2:36:09 AM",October Gran Fondo,false
"Oct 15, 2021, 2:36:14 AM",Hydro Flask Let's Go! Challenge,true
"Oct 15, 2021, 2:36:18 AM",Dream Bike Challenge by The Pro’s Closet,true
"Oct 15, 2021, 2:36:30 AM",Competitive Cyclist Lucky 13 Challenge,false
"Oct 15, 2021, 2:36:33 AM",Livestrong Challenge,true
"Oct 15, 2021, 2:36:41 AM",October ULTRA Beer Run,true
"Oct 15, 2021, 2:36:44 AM",ROKA x The Pink Fund Challenge,true
