ride_id,ride_date,elapsed_time,distance,bike_weight,moving_time,max_speed,avg_speed,elevation_gain,elevation_loss,max_grade,avg_grade,avg_power,calories,perceived_exertion,perceived_relative_effort,simple_exertion
3700575573,7/1/2020 23:19,4986,28.61,15.8757,4394,10.10000038,6.512516975,107.1149597,107.0149612,10.80000019,0.000349455,108.0009384,529.1300659,7,140,HARD
3712163423,7/4/2020 12:17,5621,25.34,15.8757,5235,8.300000191,4.841375351,21.64910698,21.5491066,4.699999809,0.000394561,79.25162506,462.5937195,2,24,EASY
3719948347,7/5/2020 23:33,3201,18.81,15.8757,3013,10.80000019,6.243246078,53.80057526,54.00059891,7.300000191,-0.001063213,115.4138641,387.7327576,8,129,HARD
3724676540,7/7/2020 0:41,3355,18.12,15.8757,3064,10.80000019,5.914262295,54.39476013,54.39479828,8.100000381,0,105.4530106,360.2654114,6,80,NORMAL
3731391933,7/8/2020 10:54,4420,24.33,15.8757,4146,11.60000038,5.870115757,115.046669,115.0469971,13.69999981,0,99.7914505,461.315155,6,109,NORMAL
3743546997,7/10/2020 23:23,5709,30.34,15.8757,5286,13.10000038,5.740143776,117.7270355,107.6269989,10.30000019,0.033286754,102.8682098,606.2926636,5,95,NORMAL
3744867729,7/11/2020 2:32,3554,16.87,15.8757,3059,11.60000038,5.515560627,56.44738007,67.6473999,21.70000076,-0.066381775,92.03590393,313.9146729,,,
3752089074,7/12/2020 11:15,16790,84.4,15.8757,13393,21.79999924,6.301911354,290.2681885,290.2681885,16.39999962,0,107.2217102,1601.16272,8,576,HARD
3760330379,7/14/2020 11:05,2118,13.15,15.8757,1905,10.30000019,6.90503931,47.2383728,32.13837433,5.699999809,0.114793107,121.4601822,257.9905396,7,60,HARD
3763294489,7/14/2020 21:28,2018,8.77,15.8757,1366,11,6.422327995,20.0233326,40.72333145,4.199999809,-0.235953897,115.5614777,176.0105286,6,36,NORMAL
3763409786,7/14/2020 22:02,2100,13.85,15.8757,1984,10.89999962,6.983417511,49.43381119,55.43381119,10.60000038,-0.043305352,116.7209396,258.2054138,6,52,NORMAL
3763827080,7/15/2020 0:10,2176,14.27,15.8757,2136,12.10000038,6.68305254,57.50630951,50.60630798,6.900000095,0.048336253,112.9407806,268.9842834,9,106,HARD
3768736363,7/16/2020 0:02,2435,14.12,15.8757,2289,13.5,6.171384811,59.0336113,59.63359833,18.60000038,-0.004247397,115.0665436,293.6780396,6,60,NORMAL
3803410526,7/22/2020 23:28,3321,17.98,15.8757,3040,9.600000381,5.917039394,56.43821335,56.63819885,6.300000191,-0.001111865,106.7290649,361.7686157,6,80,NORMAL
3806694608,7/23/2020 22:44,11290,35.25,15.8757,6385,12.10000038,5.520673275,140.0309448,140.2310028,10.60000038,-0.000567384,100.8336411,717.8649902,5,115,NORMAL
3809576084,7/25/2020 0:39,2012,10.55,15.8757,1834,11.80000019,5.755289078,16.85059547,16.85059929,3.599999905,0,108.0652847,220.9832001,7,58,HARD
3815541338,7/26/2020 11:40,14229,42.26,15.8757,8631,11.60000038,4.896431446,191.5142059,191.4140015,26.39999962,0.000236624,91.01821899,875.9195557,6,227,NORMAL
3816918024,7/26/2020 23:20,3013,7.82,15.8757,1832,9.300000191,4.268668175,9.906970024,10.40697002,9,-0.006393699,95.1415329,194.3436432,6,48,NORMAL
3829974032,7/28/2020 21:52,1284,3.62,15.8757,821,12.89999962,4.409865856,4.605045795,4.405049801,6.699999809,0.005524099,119.2263565,109.1412659,6,21,NORMAL
3835655059,7/29/2020 21:20,6259,32.01,15.8757,5114,13.10000038,6.260989666,129.321991,129.121994,10.5,0.000624635,122.7423859,699.8883667,8,220,HARD
3845870049,8/1/2020 0:18,3967,19.14,15.8757,3247,23.60000038,5.895811558,59.61666489,60.11669922,5.599999905,-0.002611825,118.5065536,429.043335,6,85,NORMAL
3850723804,8/1/2020 23:34,3565,10.48,15.8757,2702,9.699999809,3.881606102,32.34799957,32.34799957,10.10000038,0,83.35521698,251.126709,4,30,EASY
3854038503,8/2/2020 13:10,7324,24.56,15.8757,5437,23.89999962,4.518208504,80.85250092,81.55249786,7.900000095,-0.002849525,85.32687378,517.2734375,,,
3856128927,8/2/2020 23:14,3161,10.29,15.8757,1821,41.29999924,5.653542042,10.88452339,10.28450012,8.100000381,0.005828015,106.934082,217.1203918,3,15,EASY
3865916771,8/4/2020 21:28,2845,8.25,15.8757,2107,10.30000019,3.91665864,11.6930542,11.29310036,4.699999809,0.004847075,76.9949646,180.8847351,,,
3870291831,8/5/2020 20:13,4109,16.39,15.8757,2920,11.10000038,5.615479469,80.22000122,80.41999817,26.70000076,-0.00121972,113.7984009,370.50354,5,52,NORMAL
3873464261,8/6/2020 12:33,7464,28.58,15.8757,5390,48.5,5.302244663,72.79441071,99.0943985,5.400000095,-0.092025295,91.22416687,548.2437744,6,142,NORMAL
3874203333,8/6/2020 16:14,4422,5.86,15.8757,3270,18,1.793639183,15.89999962,15.69999981,6.599999905,0.003409943,102.0719833,372.1595459,3,27,EASY
3875911617,8/6/2020 22:28,4720,5.09,15.8757,1141,13.30000019,4.465293407,18.36666679,12.16666698,13.19999981,0.121690318,110.3790054,140.425827,5,20,NORMAL
3888490329,8/9/2020 13:01,1540,4.72,15.8757,1123,10.19999981,4.208637714,13.66628838,18.96628952,5.5,-0.112138458,77.41306305,96.93238068,2,5,EASY
3902986200,8/12/2020 14:44,5580,10.4,15.8757,1727,19,6.021829605,30.85000038,31.04999924,9.399999619,-0.001923132,130.2162018,250.7445831,7,55,HARD
3922365744,8/16/2020 12:52,11079,20.95,15.8757,6697,19,3.128430605,67.63182068,68.03181458,8.600000381,-0.001909208,75.63647461,564.7892456,,,
3924016323,8/16/2020 21:54,1268,6.08,15.8757,1017,11.5,5.986037254,23.62138939,24.72138977,5.400000095,-0.018068925,125.0320435,141.7807159,,,
3924085714,8/16/2020 23:50,1020,5.19,15.8757,988,10.30000019,5.252327919,16.63484192,16.03484154,17.20000076,0.011562253,95.57505035,105.2873917,6,26,NORMAL
3938300771,8/19/2020 21:24,9162,42.1,15.8757,6342,35.40000153,6.638489246,160.6982574,160.5980072,11.69999981,0.000237522,139.0703125,983.4098511,6,167,NORMAL
3942695122,8/20/2020 21:10,2000,3.9,15.8757,871,19.10000038,4.478645325,5.676388741,6.07638979,4.199999809,-0.010254044,108.6206894,105.4889145,3,7,EASY
3955182746,8/23/2020 13:00,2283,7.35,15.8757,1806,10.60000038,4.070542812,16.82363701,27.32363701,3.900000095,-0.14282994,83.55641174,168.2566986,,,
3956271614,8/23/2020 17:27,5539,25.76,15.8757,4799,27.39999962,5.369493484,70.31666565,70.21669769,7.099999905,0.000388075,123.3847275,660.2189331,8,206,HARD
3964264713,8/25/2020 14:38,6478,10.14,15.8757,2152,23.79999924,4.715427399,9.451428413,8.951430321,5.5,0.004927273,100.5884399,241.3588867,5,38,NORMAL
3988078366,8/30/2020 14:59,11047,27.52,15.8757,5842,27.60000038,4.711211681,122.101799,141.7019958,11.69999981,-0.071213424,87.31626892,568.7635498,5,105,NORMAL
4003175803,9/2/2020 21:21,5151,23.6,15.8757,4173,12.80000019,5.656314373,117.6379395,118.038002,10,-0.001694642,95.57357788,444.6939392,5,75,NORMAL
4003355461,9/2/2020 23:24,1309,4.21,15.8757,798,18.20000076,5.277694225,4.900952339,4.80095005,2.799999952,0.002374395,123.4260864,109.820755,4,8,EASY
4008153143,9/3/2020 22:56,5746,10.76,15.8757,2412,9.5,4.464179039,37.68000031,36.88000107,5.599999905,0.007429697,96.59346771,259.7766418,6,63,NORMAL
4037172186,9/9/2020 22:23,4956,25.3,15.8757,4528,11.5,5.587256908,108.7969055,108.7969971,9.5,0,103.5216904,522.6535645,6,119,NORMAL
4071000092,9/16/2020 23:40,3290,14.94,15.8757,2890,12.5,5.171591759,88.18478394,88.88480377,28.79999924,-0.004683559,107.8873444,347.6496887,5,52,NORMAL
4074900404,9/17/2020 19:07,6100,19.26,15.8757,4612,22.89999962,4.176799774,72.88571167,73.48570251,16.5,-0.003114715,102.3370438,526.2557373,5,83,NORMAL
4079221652,9/18/2020 19:50,5622,21,15.8757,3792,13.30000019,5.538211823,72.4536438,86.1536026,14.39999962,-0.065235302,106.3830643,449.7958374,10,231,HARD
4104212687,9/24/2020 0:27,3851,14.67,15.8757,3293,11.39999962,4.45633173,73.75765228,74.35769653,13.30000019,-0.00408867,90.98030853,334.0519104,2,15,EASY
