ride_id,row_count,segment_count,start_time,end_time,elapsed_time,moving_time,distance,elapsed_ascent,elapsed_descent,max_speed,avg_speed,ride_cruise_speed,avg_power,ride_max_power,peak_20min_power,training_window_id,perceived_exertion,simple_exertion,perceived_relative_effort,ride_work
3695897735,8739,23,2020-06-30 23:43:15+00:00,2020-07-01 02:46:04+00:00,10981,8598,29.04909425,961.6611,961.9892,24.830034850037205,11.98889484,14.55828502,102.8495532,962.0348186,156.4235888,3,7.0,HARD,274.0,1129.3909436892
3700575573,4421,4,2020-07-01 23:19:25+00:00,2020-07-02 00:41:39+00:00,4986,4394,17.77742431,510.8517,510.5236,22.593094850037204,14.48961161,15.32629131,131.8905232,895.7413334,142.1915246,3,7.0,HARD,140.0,657.6061486752
3712163423,5250,5,2020-07-04 12:17:09+00:00,2020-07-04 13:50:45+00:00,5621,5235,15.74554114,246.7312,246.4031,18.566602427255543,10.81073705,11.5758116,64.51733947,317.3264855,77.46569192,3,2.0,EASY,24.0,362.65196516087
3719948347,3029,6,2020-07-05 23:33:21+00:00,2020-07-06 00:26:41+00:00,3201,3013,11.687988509999998,306.4454,307.1016,24.1589524250186,13.93045855,16.03941819,133.1539541,535.1247747,154.5397003,3,8.0,HARD,129.0,426.2258070741
3724676540,3112,6,2020-07-07 00:41:57+00:00,2020-07-07 01:37:38+00:00,3355,3064,11.25924252,308.0859,308.0859,24.1589524250186,13.06976171,15.43477579,117.4633262,627.9873948,159.1298238,3,6.0,NORMAL,80.0,394.089459401
3731391933,3978,16,2020-07-08 10:54:26+00:00,2020-07-08 12:08:04+00:00,4420,4146,15.11795643,588.9395,588.9395,25.948504850037203,13.65036045,14.79059257,123.5906763,817.0569203,156.0548966,3,6.0,NORMAL,109.0,546.270789246
3743546997,5366,11,2020-07-10 23:23:17+00:00,2020-07-11 00:57:50+00:00,5709,5286,18.85239614,616.4999,583.3618,29.3039148500372,12.67023185,14.59258678,112.9490005,894.030234,150.5212167,3,5.0,NORMAL,95.0,644.8258438544999
3744867729,3104,5,2020-07-11 02:32:26+00:00,2020-07-11 03:25:46+00:00,3554,3059,10.48252877,329.0843,365.8315,25.948504850037203,12.18831794,13.90829289,95.71233737,574.5468339,127.6288616,3,,,,340.16164701298
3752089074,13566,23,2020-07-12 11:15:01+00:00,2020-07-12 15:53:06+00:00,16790,13393,52.4437124,1391.144,1391.144,48.7652902999256,13.93725619,15.5491314,128.6111783,6603.969391,158.4715051,3,8.0,HARD,576.0,2159.3816836570004
3760330379,1921,4,2020-07-14 11:05:42+00:00,2020-07-14 11:40:59+00:00,2118,1905,8.17102865,212.2807,162.7376,23.0404824250186,15.32785082,16.74341725,156.3079463,589.2952336,173.0128271,3,7.0,HARD,60.0,331.0602302634
3763294489,1380,4,2020-07-14 21:28:37+00:00,2020-07-14 22:02:14+00:00,2018,1366,5.44942367,102.0391,169.9558,24.606340000000003,14.25600858,16.66212421,132.0322631,390.8280915,146.3049195,3,6.0,NORMAL,36.0,266.4411069358
3763409786,2001,3,2020-07-14 22:02:33+00:00,2020-07-14 22:37:01+00:00,2100,1984,8.60598835,240.4973,260.1833,24.3826451499628,15.49017191,16.18296828,147.5606248,842.7535889,159.9580219,3,6.0,NORMAL,52.0,309.87731208
3763827080,2138,2,2020-07-15 00:10:27+00:00,2020-07-15 00:46:38+00:00,2176,2136,8.86696417,267.0734,244.4345,27.066974850037205,14.94325839,15.61949036,141.545787,553.4675136,151.0598625,3,9.0,HARD,106.0,308.003632512
3768736363,2330,6,2020-07-16 00:02:32+00:00,2020-07-16 00:43:06+00:00,2435,2289,8.77375852,308.7421,310.7107,30.198690000000003,13.58107765,16.01569998,138.0273202,4401.023163,160.0720156,3,6.0,NORMAL,60.0,336.096524687
3803410526,3085,8,2020-07-22 23:28:27+00:00,2020-07-23 00:23:22+00:00,3321,3040,11.17225058,307.4297,308.0859,21.47462485227414,13.06786464,15.53697803,118.1284696,580.162027,147.2275362,3,6.0,NORMAL,80.0,392.30464754160005
