activity_id,activity_date,elapsed_time,distance,bike_weight,moving_time,max_speed,avg_speed,elevation_gain,elevation_loss,elevation_low,elevation_high,max_grade,avg_grade,avg_power,calories,perceived_exertion,perceived_relative_effort,weather_observation_time,weather_temperature,apparent_temperature,humidity,weather_pressure,wind_speed,wind_gust,wind_bearing,sunrise_time,sunset_time,act_name_len,has_description,simple_exertion
3640590441,2020-06-19 22:46:34,4010,19.59,15.8757,3494,9.5,5.606468201,79.91666412,79.91670227,243.6999969,269.6000061,8.399999619,0.0,97.97934723,381.7087402,4.0,38.0,2020-06-19 22:00:32,28.98999977,29.44000053,0.479999989,1015.799988,1.460000038,2.799999952,341.0,2020-06-19 10:05:52,2020-06-20 01:06:08,18,False,EASY
3649439502,2020-06-21 13:58:15,3852,19.5,15.8757,3454,10.89999962,5.645570278,74.62605286,74.62609863,243.6999969,269.3999939,8.699999809,0.0,95.51655579,367.8544922,,,2020-06-21 13:00:48,25.04999924,25.45999908,0.709999979,1013.799988,1.50999999,3.069999933,215.0,2020-06-21 10:05:52,2020-06-22 01:06:08,12,False,
3675817946,2020-06-26 22:11:57,3193,15.78,15.8757,2771,11.0,5.69433403,67.83178711,68.33180237,243.6999969,269.8999939,8.399999619,-0.003168769,106.3775787,328.6723938,6.0,73.0,2020-06-26 22:00:32,27.37000084,29.28000069,0.680000007,1014.0,4.079999924,7.949999809,223.0,2020-06-26 10:05:52,2020-06-27 01:06:08,15,True,NORMAL
3680029110,2020-06-27 16:26:07,8904,40.26,15.8757,6838,11.30000019,5.887642384,107.5005569,109.3010025,209.3999939,241.8000031,7.699999809,-0.004470972,88.85681915,677.4771118,6.0,180.0,2020-06-27 16:00:00,24.01000023,24.65999985,0.839999974,1010.200012,3.779999971,7.670000076,249.0,2020-06-27 09:57:20,2020-06-28 01:04:00,33,True,NORMAL
3694748047,2020-06-30 17:12:33,10653,27.39,15.8757,6543,11.69999981,4.187024117,108.0357361,108.0360031,243.6999969,271.2000122,9.899999619,0.0,90.67565918,661.5195923,5.0,118.0,2020-06-30 16:59:44,29.73999977,31.12999916,0.529999971,1013.900024,0.819999993,2.150000095,95.0,2020-06-30 10:08:00,2020-07-01 01:06:08,11,False,NORMAL
3695897735,2020-06-30 23:43:15,10981,46.75,15.8757,8598,11.10000038,5.437915802,189.3347626,189.4349976,243.6999969,285.0,13.10000038,-0.00021388,96.86898041,928.6608276,7.0,274.0,2020-06-30 23:00:16,30.36000061,30.87000084,0.449999988,1011.299988,2.269999981,2.299999952,54.0,2020-06-30 10:08:00,2020-07-01 01:06:08,14,True,HARD
3700575573,2020-07-01 23:19:25,4986,28.61,15.8757,4394,10.10000038,6.512516975,107.1149597,107.0149612,214.8000031,231.1999969,10.80000019,0.000349455,108.0009384,529.1300659,7.0,140.0,2020-07-01 23:00:16,30.44000053,30.76000023,0.439999998,1011.900024,1.940000057,4.090000153,51.0,2020-07-01 10:08:00,2020-07-02 01:06:08,30,True,HARD
3712163423,2020-07-04 12:17:09,5621,25.34,15.8757,5235,8.300000191,4.841375351,21.64910698,21.5491066,190.8000031,212.6000061,4.699999809,0.000394561,79.25162506,462.5937195,2.0,24.0,2020-07-04 11:58:56,22.28000069,23.0,0.930000007,1015.5,1.059999943,2.50999999,5.0,2020-07-04 09:59:28,2020-07-05 01:04:00,35,False,EASY
3719948347,2020-07-05 23:33:21,3201,18.81,15.8757,3013,10.80000019,6.243246078,53.80057526,54.00059891,243.6999969,276.6000061,7.300000191,-0.001063213,115.4138641,387.7327576,8.0,129.0,2020-07-05 23:00:16,32.22999954,32.22999954,0.330000013,1013.299988,1.809999943,2.5,8.0,2020-07-05 10:10:08,2020-07-06 01:06:08,17,False,HARD
3724676540,2020-07-07 00:41:57,3355,18.12,15.8757,3064,10.80000019,5.914262295,54.39476013,54.39479828,243.6999969,277.0,8.100000381,0.0,105.4530106,360.2654114,6.0,80.0,2020-07-07 00:00:00,30.46999931,32.13000107,0.519999981,1014.099976,1.169999957,1.730000019,259.0,2020-07-06 10:12:16,2020-07-07 01:06:08,14,False,NORMAL
3731391933,2020-07-08 10:54:26,4420,24.33,15.8757,4146,11.60000038,5.870115757,115.046669,115.0469971,241.6000061,271.2000122,13.69999981,0.0,99.7914505,461.315155,6.0,109.0,2020-07-08 09:59:28,20.14999962,20.75,0.970000029,1014.799988,0.949999988,1.370000005,116.0,2020-07-08 10:12:16,2020-07-09 01:04:00,25,False,NORMAL
3743546997,2020-07-10 23:23:17,5709,30.34,15.8757,5286,13.10000038,5.740143776,117.7270355,107.6269989,243.6999969,285.0,10.30000019,0.033286754,102.8682098,606.2926636,5.0,95.0,2020-07-10 23:00:16,26.96999931,28.79000092,0.699999988,1008.400024,4.070000172,8.210000038,283.0,2020-07-10 10:14:24,2020-07-11 01:04:00,16,False,NORMAL
3744867729,2020-07-11 02:32:26,3554,16.87,15.8757,3059,11.60000038,5.515560627,56.44738007,67.6473999,245.0,281.8999939,21.70000076,-0.066381775,92.03590393,313.9146729,,,2020-07-11 01:59:28,23.45999908,24.02000046,0.829999983,1008.400024,4.5,10.42000008,273.0,2020-07-10 10:14:24,2020-07-11 01:04:00,10,False,
3752089074,2020-07-12 11:15:01,16790,84.4,15.8757,13393,21.79999924,6.301911354,290.2681885,290.2681885,215.3000031,265.7999878,16.39999962,0.0,107.2217102,1601.16272,8.0,576.0,2020-07-12 10:59:12,19.39999962,19.68000031,0.879999995,1009.700012,0.970000029,1.75,207.0,2020-07-12 10:14:24,2020-07-13 01:04:00,18,True,HARD
3760330379,2020-07-14 11:05:42,2118,13.15,15.8757,1905,10.30000019,6.90503931,47.2383728,32.13837433,219.1000061,243.6999969,5.699999809,0.114793107,121.4601822,257.9905396,7.0,60.0,2020-07-14 10:59:12,17.30999947,17.30999947,0.829999983,1017.599976,0.569999993,1.179999948,42.0,2020-07-14 10:16:32,2020-07-15 01:01:52,12,False,HARD
3763294489,2020-07-14 21:28:37,2018,8.77,15.8757,1366,11.0,6.422327995,20.0233326,40.72333145,219.1000061,243.8000031,4.199999809,-0.235953897,115.5614777,176.0105286,6.0,36.0,2020-07-14 21:00:48,30.87000084,30.87000084,0.379999995,1017.099976,1.279999971,2.150000095,76.0,2020-07-14 10:16:32,2020-07-15 01:01:52,15,False,NORMAL
3763409786,2020-07-14 22:02:33,2100,13.85,15.8757,1984,10.89999962,6.983417511,49.43381119,55.43381119,214.8000031,231.1999969,10.60000038,-0.043305352,116.7209396,258.2054138,6.0,52.0,2020-07-14 22:00:32,30.02000046,30.02000046,0.389999986,1017.099976,1.24000001,1.559999943,124.0,2020-07-14 10:16:32,2020-07-15 01:01:52,21,True,NORMAL
3763827080,2020-07-15 00:10:27,2176,14.27,15.8757,2136,12.10000038,6.68305254,57.50630951,50.60630798,214.8000031,231.1999969,6.900000095,0.048336253,112.9407806,268.9842834,9.0,106.0,2020-07-15 00:00:00,28.46999931,28.46999931,0.379999995,1017.099976,0.419999987,0.959999979,104.0,2020-07-14 10:16:32,2020-07-15 01:01:52,23,True,HARD
3768736363,2020-07-16 00:02:32,2435,14.12,15.8757,2289,13.5,6.171384811,59.0336113,59.63359833,241.3999939,269.7999878,18.60000038,-0.004247397,115.0665436,293.6780396,6.0,60.0,2020-07-16 00:00:00,29.94000053,30.70999908,0.479999989,1015.900024,1.940000057,3.569999933,176.0,2020-07-15 10:18:40,2020-07-16 01:01:52,39,True,NORMAL
3803410526,2020-07-22 23:28:27,3321,17.98,15.8757,3040,9.600000381,5.917039394,56.43821335,56.63819885,243.6999969,276.6000061,6.300000191,-0.001111865,106.7290649,361.7686157,6.0,80.0,2020-07-22 23:00:16,26.29999924,27.94000053,0.74000001,1014.599976,3.019999981,4.340000153,152.0,2020-07-22 10:25:04,2020-07-23 00:55:28,12,False,NORMAL
3806694608,2020-07-23 22:44:24,11290,35.25,15.8757,6385,12.10000038,5.520673275,140.0309448,140.2310028,243.6999969,281.8999939,10.60000038,-0.000567384,100.8336411,717.8649902,5.0,115.0,2020-07-23 22:00:32,28.22999954,31.10000038,0.699999988,1016.599976,1.889999986,3.49000001,285.0,2020-07-23 10:25:04,2020-07-24 00:55:28,20,False,NORMAL
3809576084,2020-07-25 00:39:52,2012,10.55,15.8757,1834,11.80000019,5.755289078,16.85059547,16.85059929,261.1000061,270.2999878,3.599999905,0.0,108.0652847,220.9832001,7.0,58.0,2020-07-25 00:00:00,27.87999916,29.37999916,0.610000014,1017.799988,1.639999986,2.5,26.0,2020-07-24 10:25:04,2020-07-25 00:55:28,24,False,HARD
3815541338,2020-07-26 11:40:44,14229,42.26,15.8757,8631,11.60000038,4.896431446,191.5142059,191.4140015,214.6999969,253.1000061,26.39999962,0.000236624,91.01821899,875.9195557,6.0,227.0,2020-07-26 10:59:12,20.01000023,20.38999939,0.889999986,1019.799988,0.49000001,0.49000001,204.0,2020-07-26 10:27:12,2020-07-27 00:53:20,11,True,NORMAL
3816918024,2020-07-26 23:20:04,3013,7.82,15.8757,1832,9.300000191,4.268668175,9.906970024,10.40697002,262.2999878,269.7999878,9.0,-0.006393699,95.1415329,194.3436432,6.0,48.0,2020-07-26 23:00:16,31.89999962,34.20000076,0.5,1015.400024,2.170000076,3.670000076,247.0,2020-07-26 10:27:12,2020-07-27 00:53:20,14,True,NORMAL
3829974032,2020-07-28 21:52:40,1284,3.62,15.8757,821,12.89999962,4.409865856,4.605045795,4.405049801,266.7000122,269.3999939,6.699999809,0.005524099,119.2263565,109.1412659,6.0,21.0,2020-07-28 21:00:48,29.27000046,29.38999939,0.449999988,1013.099976,3.380000114,4.849999905,293.0,2020-07-28 10:29:20,2020-07-29 00:51:12,12,False,NORMAL
3835655059,2020-07-29 21:20:47,6259,32.01,15.8757,5114,13.10000038,6.260989666,129.321991,129.121994,243.6999969,280.2000122,10.5,0.000624635,122.7423859,699.8883667,8.0,220.0,2020-07-29 21:00:48,32.36000061,33.18999863,0.419999987,1011.700012,2.180000067,3.960000038,243.0,2020-07-29 10:29:20,2020-07-30 00:49:04,20,True,HARD
3845870049,2020-08-01 00:18:31,3967,19.14,15.8757,3247,23.60000038,5.895811558,59.61666489,60.11669922,238.6999969,276.5,5.599999905,-0.002611825,118.5065536,429.043335,6.0,85.0,2020-08-01 00:00:00,26.03000069,26.19000053,0.579999983,1011.299988,2.730000019,4.010000229,2.0,2020-07-31 10:31:28,2020-08-01 00:49:04,42,False,NORMAL
3850723804,2020-08-01 23:34:16,3565,10.48,15.8757,2702,9.699999809,3.881606102,32.34799957,32.34799957,245.0,269.5,10.10000038,0.0,83.35521698,251.126709,4.0,30.0,2020-08-01 23:00:16,25.98999977,27.62999916,0.790000021,1007.900024,2.589999914,5.679999828,171.0,2020-08-01 10:33:36,2020-08-02 00:46:56,36,False,EASY
3854038503,2020-08-02 13:10:01,7324,24.56,15.8757,5437,23.89999962,4.518208504,80.85250092,81.55249786,225.3999939,253.8999939,7.900000095,-0.002849525,85.32687378,517.2734375,,,2020-08-02 13:00:48,20.45999908,20.94000053,0.910000026,1009.599976,4.650000095,9.159999847,218.0,2020-08-02 10:33:36,2020-08-03 00:44:48,23,True,
3856128927,2020-08-02 23:14:31,3161,10.29,15.8757,1821,41.29999924,5.653542042,10.88452339,10.28450012,262.2000122,270.1000061,8.100000381,0.005828015,106.934082,217.1203918,3.0,15.0,2020-08-02 23:00:16,24.34000015,24.56999969,0.660000026,1014.0,2.0,2.980000019,264.0,2020-08-02 10:33:36,2020-08-03 00:46:56,12,False,EASY
3865916771,2020-08-04 21:28:33,2845,8.25,15.8757,2107,10.30000019,3.91665864,11.6930542,11.29310036,264.6000061,270.2000122,4.699999809,0.004847075,76.9949646,180.8847351,,,2020-08-04 21:00:48,24.01000023,24.20999908,0.670000017,1013.700012,1.860000014,4.139999866,255.0,2020-08-04 10:35:44,2020-08-05 00:44:48,14,False,
3870291831,2020-08-05 20:13:05,4109,16.39,15.8757,2920,11.10000038,5.615479469,80.22000122,80.41999817,241.3999939,278.0,26.70000076,-0.00121972,113.7984009,370.50354,5.0,52.0,2020-08-05 20:01:04,24.23999977,24.23999977,0.439999998,1019.299988,1.870000005,2.920000076,352.0,2020-08-05 10:35:44,2020-08-06 00:42:40,21,False,NORMAL
3873464261,2020-08-06 12:33:08,7464,28.58,15.8757,5390,48.5,5.302244663,72.79441071,99.0943985,230.1999969,269.2000122,5.400000095,-0.092025295,91.22416687,548.2437744,6.0,142.0,2020-08-06 12:01:04,16.46999931,16.46999931,0.860000014,1020.5,0.75,0.75,35.0,2020-08-06 10:37:52,2020-08-07 00:40:32,14,True,NORMAL
